Şehir,Resmi,Özel,Toplam
ADANA,343,41,384
ADIYAMAN,219,13,232
DİYARBAKIR,457,37,494
GAZİANTEP,371,37,408
HATAY,431,33,464
MALATYA,219,21,240
KAHRAMANMARAŞ,305,21,326
ŞANLIURFA,743,33,776
KİLİS,44,4,48
OSMANİYE,122,16,138
