Şehir,Resmi,Özel,Toplam
ADANA,1456,744,2200
ADIYAMAN,579,180,759
DİYARBAKIR,1686,256,1942
GAZİANTEP,1657,522,2179
HATAY,1396,628,2024
MALATYA,558,246,804
KAHRAMANMARAŞ,876,204,1080
ŞANLIURFA,1977,273,2250
KİLİS,173,33,206
OSMANİYE,422,123,545
