Şehir,R Erkek,R Kadın,R Toplam,Ö Erkek,Ö Kadın,Ö Toplam,Toplam
ADANA,3944,5337,9281,214,513,727,10008
ADIYAMAN,2222,1667,3889,75,82,157,4046
DİYARBAKIR,4781,4491,9272,220,268,488,9760
GAZİANTEP,4677,6586,11263,200,401,601,11864
HATAY,4147,5001,9148,184,317,501,9649
MALATYA,2018,1985,4003,155,154,309,4312
KAHRAMANMARAŞ,3064,3110,6174,117,163,280,6454
ŞANLIURFA,5540,7036,12576,188,248,436,13012
KİLİS,516,684,1200,13,16,29,1229
OSMANİYE,1393,1489,2882,114,119,233,3115
