Şehir,R Erkek,R Kadın,R Toplam,Ö Erkek,Ö Kadın,Ö Toplam,Toplam
ADANA,4461,4334,8795,538,870,1408,10203
ADIYAMAN,2199,1120,3319,199,140,339,3658
DİYARBAKIR,3967,3037,7004,655,585,1240,8244
GAZİANTEP,4664,4218,8882,675,645,1320,10202
HATAY,3929,3247,7176,508,523,1031,8207
MALATYA,2473,1590,4063,358,419,777,4840
KAHRAMANMARAŞ,3091,2131,5222,338,373,711,5933
ŞANLIURFA,4299,3694,7993,841,628,1469,9462
KİLİS,478,423,901,26,31,57,958
OSMANİYE,1563,1065,2628,253,231,484,3112
