Şehir,Resmi,Özel,Toplam
ADANA,4608,687,5295
ADIYAMAN,2135,83,2218
DİYARBAKIR,3397,474,3871
GAZİANTEP,5838,577,6415
HATAY,3967,473,4440
MALATYA,1712,228,1940
KAHRAMANMARAŞ,3135,379,3514
ŞANLIURFA,6464,432,6896
KİLİS,665,32,697
OSMANİYE,1535,174,1709
