Şehir,R Erkek,R Kadın,R Toplam,Ö Erkek,Ö Kadın,Ö Toplam,Toplam
ADANA,203,2121,2324,14,543,557,2881
ADIYAMAN,121,647,768,7,131,138,906
DİYARBAKIR,341,1872,2213,6,220,226,2439
GAZİANTEP,214,2123,2337,7,389,396,2733
HATAY,195,1841,2036,12,405,417,2453
MALATYA,83,709,792,9,87,96,888
KAHRAMANMARAŞ,158,1031,1189,7,135,142,1331
ŞANLIURFA,345,2152,2497,11,217,228,2725
KİLİS,47,205,252,0,50,50,302
OSMANİYE,71,593,664,8,115,123,787
