Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
2011-10-31 23:27:23,43.5828,38.7948,7.0,0.66,Md,2.5,İpekyolu (Van),144213
2011-10-31 23:36:44,43.524,38.931,9.62,0.39,Md,2.5,Van Gölü - [03.17 km] Tuşba (Van),144214
2011-11-02 23:07:58,43.6265,37.3645,7.0,0.72,Md,2.5,Çukurca (Hakkari),144678
2011-10-31 23:51:33,43.515,38.8048,7.0,0.48,Md,2.5,Tuşba (Van),144218
2011-11-01 00:34:46,43.1022,38.693,7.0,0.55,Md,2.5,Van Gölü - [07.74 km] Tuşba (Van),144227
2011-11-06 06:02:26,42.5268,37.6467,7.22,0.04,Md,2.5,Merkez (Şırnak),145501
2011-11-01 02:58:40,43.225,38.7145,7.0,0.31,Md,2.5,Tuşba (Van),144245
2011-11-01 03:22:58,43.165,38.6437,7.0,0.45,Md,2.5,Tuşba (Van),144247
2011-11-01 03:23:56,43.1597,38.7468,6.92,0.62,Md,2.5,Van Gölü - [04.63 km] Tuşba (Van),144248
2011-11-01 05:46:48,43.2085,38.7632,7.0,0.29,Md,2.5,Van Gölü - [02.11 km] Tuşba (Van),144272
2011-11-01 10:06:11,43.1897,38.603,7.0,0.79,Ml,2.5,Van Gölü - [02.51 km] Tuşba (Van),144300
2011-11-06 14:19:33,42.9505,38.368,6.89,0.59,Md,2.5,Van Gölü - [03.97 km] Gevaş (Van),145593
2011-11-01 11:08:41,43.2392,38.6553,7.0,0.87,Ml,2.5,Tuşba (Van),144310
2011-11-01 11:27:03,43.507,38.9015,7.02,0.86,Ml,2.5,Van Gölü - [03.53 km] Tuşba (Van),144315
2011-10-30 17:36:24,43.666,38.5972,7.0,0.99,Ml,2.5,İpekyolu (Van),143885
2011-10-30 17:37:30,43.5978,38.4781,9.41,0.03596,Ml,2.5,İpekyolu (Van),143886
2011-10-30 17:58:16,43.5867,38.6558,3.06,0.6137,Ml,2.5,Erçek Gölü - [05.53 km] İpekyolu (Van),143893
2011-11-06 00:36:18,43.4787,38.7167,7.16,0.82,Ml,2.5,Tuşba (Van),145458
2011-10-30 20:31:45,43.494,38.5057,10.29,0.59,Ml,2.5,İpekyolu (Van),143935
2011-10-30 21:55:52,43.549,38.7747,7.0,0.75,Ml,2.5,Tuşba (Van),143952
2011-11-05 22:27:18,43.7055,38.7098,7.19,0.41,Ml,2.5,İpekyolu (Van),145439
